% Detected Trees Output File
% Generated on: 18-Jun-2025 09:28:18
% Format: Row_Number, X_Coordinate(m), Y_Coordinate(m), Diameter(m)
% Total trees detected: 34
%
1, 18.5098, 23.9976, 0.8000
2, 18.5071, 26.0617, 0.6853
3, 18.5697, 30.1436, 0.4167
4, 18.4611, 32.0817, 0.4853
5, 18.5317, 22.0185, 0.5156
6, 18.5430, 27.9867, 0.3605
7, 18.6628, 19.8470, 0.2279
8, 21.5219, 20.0743, 0.7686
9, 21.4215, 26.0730, 0.6634
10, 21.4664, 23.9034, 0.6549
11, 21.5061, 32.0635, 0.7122
12, 21.4345, 21.9807, 0.6405
13, 21.5040, 29.9893, 0.5277
14, 21.5801, 28.0376, 0.3212
15, 24.5821, 21.9388, 0.5900
16, 24.4251, 20.0031, 0.5500
17, 24.4251, 25.8867, 0.4000
18, 24.4307, 30.0111, 0.4129
19, 24.4886, 23.9059, 0.3623
20, 24.3810, 27.9720, 0.1584
21, 27.4727, 22.0273, 0.8000
22, 27.5205, 32.0575, 0.6138
23, 27.3777, 23.9404, 0.5185
24, 27.4690, 29.9943, 0.4534
25, 27.4488, 26.0415, 0.3723
26, 27.4487, 19.9048, 0.3717
27, 27.5115, 28.0356, 0.3696
28, 30.4885, 22.1550, 0.6779
29, 30.6287, 23.9006, 0.3780
30, 30.4626, 20.0487, 0.5009
31, 30.4945, 30.0520, 0.4816
32, 30.4605, 27.9860, 0.5437
33, 30.5003, 26.0131, 0.4121
34, 30.4581, 32.0086, 0.3164
