% Detected Trees Output File
% Generated on: 18-Jun-2025 15:12:06
% Format: Row_Number, X_Coordinate(m), Y_Coordinate(m), Diameter(m)
% Total trees detected: 33
%
1, 18.3981, 22.0262, 0.6871
2, 18.5485, 20.0334, 0.5837
3, 18.3899, 23.8184, 0.1939
4, 18.5220, 30.0265, 0.3682
5, 18.5556, 31.9526, 0.2046
6, 18.5955, 28.0350, 0.3259
7, 21.4414, 22.1198, 0.7335
8, 21.5190, 32.0405, 0.7604
9, 21.4410, 26.0085, 0.5778
10, 21.5553, 28.0408, 0.5774
11, 21.4662, 23.8833, 0.4254
12, 21.4537, 19.9675, 0.4008
13, 21.4410, 30.0682, 0.3108
14, 24.6043, 31.9020, 0.6176
15, 24.4609, 21.9133, 0.5903
16, 24.3876, 30.0602, 0.4429
17, 24.4172, 23.9878, 0.5310
18, 24.3898, 28.0038, 0.4847
19, 24.5496, 25.9403, 0.4298
20, 24.5856, 19.8355, 0.3398
21, 27.4532, 21.9636, 0.8000
22, 27.5152, 19.9689, 0.6183
23, 27.5247, 24.0471, 0.6595
24, 27.4805, 31.9713, 0.5449
25, 27.4712, 27.9332, 0.4284
26, 27.4890, 26.0010, 0.3937
27, 27.5231, 29.9899, 0.2872
28, 30.5699, 21.9703, 0.7632
29, 30.5129, 19.8749, 0.4500
30, 30.4685, 31.8933, 0.2806
31, 30.4961, 25.9457, 0.3606
32, 30.5655, 30.0755, 0.2390
33, 30.6469, 24.1028, 0.2435
