% Detected Trees Output File
% Generated on: 18-Jun-2025 14:14:17
% Format: Row_Number, X_Coordinate(m), Y_Coordinate(m), Diameter(m)
% Total trees detected: 50
%
1, 18.3190, 17.9865, 0.2093
2, 18.3913, 13.9641, 0.2011
3, 18.3750, 19.5930, 0.1000
4, 18.5905, 15.7098, 0.1136
5, 21.4395, 13.8057, 0.1983
6, 21.7770, 15.6450, 0.1000
7, 24.4253, 11.8394, 0.2146
8, 24.4458, 17.8580, 0.1625
9, 27.0585, 19.9605, 0.1000
10, 27.1425, 19.8240, 0.1000
11, 27.2160, 10.0695, 0.1000
12, 27.2370, 19.6770, 0.1000
13, 27.4205, 15.8331, 0.2011
14, 27.7103, 17.5899, 0.1000
15, 30.2085, 19.8345, 0.1000
16, 30.4346, 15.8266, 0.2106
17, 30.3889, 11.8570, 0.2210
18, 30.4354, 13.8629, 0.1925
19, 31.0493, 17.8516, 0.1000
20, 31.7625, 19.1730, 0.1000
21, 32.6340, 18.8370, 0.1000
22, 33.1352, 19.4558, 0.1000
23, 33.5160, 19.3725, 0.1000
24, 33.6210, 19.3410, 0.1000
25, 33.7050, 19.3200, 0.1000
26, 33.7890, 19.2990, 0.1000
27, 33.8730, 19.2780, 0.1000
28, 34.0620, 19.2255, 0.1000
29, 34.1670, 19.1940, 0.1000
30, 34.3560, 19.1415, 0.1000
31, 34.5450, 19.0890, 0.1000
32, 34.6710, 19.0470, 0.1000
33, 34.8705, 18.9840, 0.1000
34, 34.9860, 18.9420, 0.1000
35, 35.1015, 18.9000, 0.1000
36, 35.2800, 18.8475, 0.1000
37, 35.5530, 18.7425, 0.1000
38, 35.7000, 18.6900, 0.1000
39, 36.0570, 18.5535, 0.1000
40, 36.4770, 18.3750, 0.1000
41, 36.9705, 18.1545, 0.1000
42, 37.1070, 18.1020, 0.1000
43, 37.3590, 17.9655, 0.1000
44, 38.2830, 17.4930, 0.1000
45, 38.8500, 17.1780, 0.1000
46, 39.1860, 16.9680, 0.1000
47, 39.3330, 16.8840, 0.1000
48, 39.4800, 16.7790, 0.1000
49, 39.6747, 16.6530, 0.1000
50, 39.8924, 16.5060, 0.1000
