% Detected Trees Output File
% Generated on: 18-Jun-2025 15:29:58
% Format: Row_Number, X_Coordinate(m), Y_Coordinate(m), Diameter(m)
% Total trees detected: 46
%
1, 18.4848, 13.9879, 0.3266
2, 18.5553, 17.7240, 0.1000
3, 18.5943, 19.5557, 0.1005
4, 18.9210, 19.8660, 0.1000
5, 21.1260, 10.0380, 0.1000
6, 21.4786, 19.9967, 0.3117
7, 21.4985, 11.9858, 0.3035
8, 24.1920, 21.7140, 0.1000
9, 24.8430, 18.0314, 0.1000
10, 27.2790, 21.6796, 0.1000
11, 27.4893, 17.9842, 0.2988
12, 27.4890, 10.2060, 0.1000
13, 27.6240, 10.1745, 0.1000
14, 30.7230, 10.1850, 0.1000
15, 31.1010, 18.7530, 0.1000
16, 31.5630, 16.7370, 0.1000
17, 31.8360, 18.1440, 0.1000
18, 33.1352, 19.4558, 0.1000
19, 33.5160, 19.3725, 0.1000
20, 33.6210, 19.3410, 0.1000
21, 33.7050, 19.3200, 0.1000
22, 33.7890, 19.2990, 0.1000
23, 33.8730, 19.2780, 0.1000
24, 34.0620, 19.2255, 0.1000
25, 34.1670, 19.1940, 0.1000
26, 34.3560, 19.1415, 0.1000
27, 34.5450, 19.0890, 0.1000
28, 34.6710, 19.0470, 0.1000
29, 34.8705, 18.9840, 0.1000
30, 34.9860, 18.9420, 0.1000
31, 35.1015, 18.9000, 0.1000
32, 35.2800, 18.8475, 0.1000
33, 35.5530, 18.7425, 0.1000
34, 35.7000, 18.6900, 0.1000
35, 36.0570, 18.5535, 0.1000
36, 36.4770, 18.3750, 0.1000
37, 36.9705, 18.1545, 0.1000
38, 37.1070, 18.1020, 0.1000
39, 37.3590, 17.9655, 0.1000
40, 38.2830, 17.4930, 0.1000
41, 38.8500, 17.1780, 0.1000
42, 39.1860, 16.9680, 0.1000
43, 39.3330, 16.8840, 0.1000
44, 39.4800, 16.7790, 0.1000
45, 39.6747, 16.6530, 0.1000
46, 39.8924, 16.5060, 0.1000
